"DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","UNIQUE_CARRIER","AIRLINE_ID","CARRIER","TAIL_NUM","FL_NUM","ORIGIN_AIRPORT_ID","ORIGIN_AIRPORT_SEQ_ID","ORIGIN_CITY_MARKET_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","DEST_AIRPORT_ID","DEST_AIRPORT_SEQ_ID","DEST","DEST_CITY_NAME","DEST_STATE_ABR","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DEL15","DEP_TIME_BLK","ARR_TIME","ARR_DEL15","CANCELLED","DIVERTED","DISTANCE",
1,7,2017-01-01,"AA",19805,"AA","N3CGAA","307",11292,1129202,30325,"DEN","Denver, CO","CO",14107,1410702,"PHX","Phoenix, AZ","AZ","1145","1135",-10.00,0.00,"1100-1159","1328",0.00,0.00,0.00,602.00,
1,7,2017-01-01,"AA",19805,"AA","N3CGAA","307",14107,1410702,30466,"PHX","Phoenix, AZ","AZ",14057,1405702,"PDX","Portland, OR","OR","1510","1502",-8.00,0.00,"1500-1559","1653",0.00,0.00,0.00,1009.00,
1,7,2017-01-01,"AA",19805,"AA","N3EVAA","309",11278,1127803,30852,"DCA","Washington, DC","VA",13303,1330303,"MIA","Miami, FL","FL","0659","0646",-13.00,0.00,"0600-0659","0930",0.00,0.00,0.00,919.00,
1,7,2017-01-01,"AA",19805,"AA","N3NAAA","310",13303,1330303,32467,"MIA","Miami, FL","FL",12953,1295302,"LGA","New York, NY","NY","1405","1402",-3.00,0.00,"1400-1459","1646",0.00,0.00,0.00,1096.00,
1,7,2017-01-01,"AA",19805,"AA","N3FCAA","311",14107,1410702,30466,"PHX","Phoenix, AZ","AZ",11292,1129202,"DEN","Denver, CO","CO","2254","2310",16.00,1.00,"2200-2259","0107",1.00,0.00,0.00,602.00,
1,7,2017-01-01,"AA",19805,"AA","N3LMAA","311",14747,1474703,30559,"SEA","Seattle, WA","WA",14107,1410702,"PHX","Phoenix, AZ","AZ","1759","1800",1.00,0.00,"1700-1759","2141",0.00,0.00,0.00,1107.00,
1,7,2017-01-01,"AA",19805,"AA","N3DVAA","312",13930,1393004,30977,"ORD","Chicago, IL","IL",13487,1348702,"MSP","Minneapolis, MN","MN","1335","1357",22.00,1.00,"1300-1359","1523",1.00,0.00,0.00,334.00,
1,7,2017-01-01,"AA",19805,"AA","N3KCAA","313",13303,1330303,32467,"MIA","Miami, FL","FL",10821,1082104,"BWI","Baltimore, MD","MD","2035","2035",0.00,0.00,"2000-2059","2253",0.00,0.00,0.00,946.00,
1,7,2017-01-01,"AA",19805,"AA","N3DHAA","314",13303,1330303,32467,"MIA","Miami, FL","FL",13930,1393004,"ORD","Chicago, IL","IL","2129","2135",6.00,0.00,"2100-2159","2343",0.00,0.00,0.00,1197.00,
1,7,2017-01-01,"AA",19805,"AA","N4XKAA","315",11298,1129804,30194,"DFW","Dallas/Fort Worth, TX","TX",14683,1468303,"SAT","San Antonio, TX","TX","1235","1330",55.00,1.00,"1200-1259","1423",1.00,0.00,0.00,247.00,
1,7,2017-01-01,"AA",19805,"AA","N4XKAA","315",14683,1468303,33214,"SAT","San Antonio, TX","TX",11298,1129804,"DFW","Dallas/Fort Worth, TX","TX","1434","1458",24.00,1.00,"1400-1459","1553",0.00,0.00,0.00,247.00,
1,7,2017-01-01,"AA",19805,"AA","N3CNAA","316",13303,1330303,32467,"MIA","Miami, FL","FL",14843,1484304,"SJU","San Juan, PR","PR","2151","2157",6.00,0.00,"2100-2159","0124",0.00,0.00,0.00,1045.00,
1,7,2017-01-01,"AA",19805,"AA","N3DTAA","319",14107,1410702,30466,"PHX","Phoenix, AZ","AZ",14057,1405702,"PDX","Portland, OR","OR","1105","1122",17.00,1.00,"1100-1159","1317",1.00,0.00,0.00,1009.00,
1,7,2017-01-01,"AA",19805,"AA","N3DTAA","319",14908,1490803,32575,"SNA","Santa Ana, CA","CA",14107,1410702,"PHX","Phoenix, AZ","AZ","0750","0738",-12.00,0.00,"0700-0759","1027",0.00,0.00,0.00,338.00,
1,7,2017-01-01,"AA",19805,"AA","N4YCAA","320",11298,1129804,30194,"DFW","Dallas/Fort Worth, TX","TX",14683,1468303,"SAT","San Antonio, TX","TX","1045","1041",-4.00,0.00,"1000-1059","1137",0.00,0.00,0.00,247.00,
1,7,2017-01-01,"AA",19805,"AA","N4YCAA","320",14683,1468303,33214,"SAT","San Antonio, TX","TX",11298,1129804,"DFW","Dallas/Fort Worth, TX","TX","1237","1227",-10.00,0.00,"1200-1259","1322",0.00,0.00,0.00,247.00,
1,7,2017-01-01,"AA",19805,"AA","N3EEAA","321",11057,1105703,31057,"CLT","Charlotte, NC","NC",11618,1161802,"EWR","Newark, NJ","NJ","1335","1336",1.00,0.00,"1300-1359","1509",0.00,0.00,0.00,529.00,
1,7,2017-01-01,"AA",19805,"AA","N3EEAA","321",11618,1161802,31703,"EWR","Newark, NJ","NJ",14107,1410702,"PHX","Phoenix, AZ","AZ","1630","1628",-2.00,0.00,"1600-1659","2011",0.00,0.00,0.00,2133.00,
1,7,2017-01-01,"AA",19805,"AA","N3EEAA","321",14107,1410702,30466,"PHX","Phoenix, AZ","AZ",14057,1405702,"PDX","Portland, OR","OR","2115","2207",52.00,1.00,"2100-2159","0005",1.00,0.00,0.00,1009.00,
